country,Total Ecological Footprint,biocapacity,Population (millions),region,hdi,gdpNormalized,area,kmPerCap,biocapnorm,kmPerCapNORM,hdiNORM,gdpNORM
Sweden,7.25,3.38,9.51,European Union,0.9,59.3819,407310,42.829,0.338853918,0.076787362,0.933333333,0.516706733
Switzerland,5.79,-4.48,8,Northern/Eastern Europe,0.93,88.5062,39516,4.939,-0.537278464,0.008643434,0.983333333,0.771315793
Tajikistan,0.91,-0.38,8.01,Middle East/Central Asia,0.62,0.83617,138790,17.327,-0.080262845,0.030922848,0.466666667,0.004891059
"Tanzania, United Republic of",1.32,-0.24,47.78,Africa,0.51,0.76533,885800,18.53913771,-0.064657433,0.033102838,0.283333333,0.004271765
Thailand,2.66,-1.42,66.78,Asia-Pacific,0.72,5.47929,510890,7.65,-0.196188758,0.013519079,0.633333333,0.04548192
Timor-Leste,0.48,1.3,1.11,Asia-Pacific,0.6,5.16786,14870,13.3963964,0.107002092,0.023853785,0.433333333,0.042759352
Togo,1.13,-0.6,6.64,Africa,0.47,0.58086,54390,8.191,-0.104785634,0.01449205,0.216666667,0.0026591
Tonga,2.7,-1.22,0.1,Asia-Pacific,0.72,4.3309,720,7.2,-0.173895313,0.012709769,0.633333333,0.03544252
Trinidad and Tobago,7.92,-6.36,1.34,Latin America,0.77,18.3108,5130,3.828,-0.746836845,0.006645337,0.716666667,0.157656932
Tunisia,2.34,-1.4,10.88,Africa,0.72,4.30507,155360,14.279,-0.193959413,0.025441119,0.633333333,0.035216711
Turkey,3.33,-1.81,74,Middle East/Central Asia,0.76,10.4377,769630,10.4,-0.239660975,0.018464864,0.7,0.088829095
Turkmenistan,5.47,-2.68,5.17,Middle East/Central Asia,0.68,5.29014,469930,90.895,-0.33663746,0.163232493,0.566666667,0.043828342
Uganda,1.24,-0.66,36.35,Africa,0.48,0.60135,200520,5.516,-0.111473667,0.00968115,0.233333333,0.002838227
Ukraine,2.84,-0.58,45.53,Northern/Eastern Europe,0.74,3.58963,579400,12.725,-0.102556289,0.022646301,0.666666667,0.028962225
United Kingdom,4.94,-3.62,63.03,European Union,0.9,40.9805,241930,3.838,-0.441416651,0.006663322,0.933333333,0.355838896
United Arab Emirates,7.93,-7.37,9.206,Middle East/Central Asia,0.83,40.8174,71020,7.714,-0.859418742,0.013634181,0.816666667,0.354413051
United States of America,8.22,-4.46,317.5,North America,0.91,49.725,9147420,28.81077165,-0.535049119,0.051576036,0.95,0.432284645
Uruguay,2.91,7.41,3.4,Latin America,0.79,14.2381,175020,51.476,0.788066832,0.092338709,0.75,0.122052769
Uzbekistan,2.32,-1.4,28.54,Middle East/Central Asia,0.67,1.56085,440555,15.436,-0.193959413,0.027521946,0.55,0.011226322
"Venezuela, Bolivarian Republic of",3.57,-0.79,29.96,Latin America,0.763846,10.2378,882050,29.44092123,-0.125964406,0.052709339,0.70641,0.087081538
Viet Nam,1.65,-0.65,90.8,Asia-Pacific,0.66,1.53231,310070,3.414867841,-0.110358995,0.005902332,0.533333333,0.010976821
Yemen,1.03,-0.53,23.85,Middle East/Central Asia,0.5,1.3023,527970,22.137,-0.096982928,0.039573475,0.266666667,0.008966039
Zambia,0.99,1.24,14.08,Africa,0.58,1.74064,743390,52.797,0.100314059,0.094714484,0.4,0.012798074
Zimbabwe,1.37,-0.75,13.72,Africa,0.49,0.86591,386850,28.196,-0.121505718,0.050470389,0.25,0.005151051
